City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Santa Isabel Do Rio Negro,BR,73.15,Clouds,-0.4139,-65.0192,Hotel Maikon
239,Camopi,GF,72.41,Clouds,3.1655,-52.3158,Chez Lucia
248,Acapulco,MX,78.62,Clouds,16.8634,-99.8901,Hotel del Valle
249,Bireun,ID,83.5,Clouds,5.203,96.7009,No hotel found
255,Palembang,ID,86.09,Clouds,-2.9167,104.7458,OYO 183 The Pipe House
257,Sao Jose Da Coroa Grande,BR,76.55,Clouds,-8.8978,-35.1478,Hotel do Sol
261,Ambanja,MG,76.33,Clouds,-13.6833,48.45,Hôtel Salama Rose
262,Mangrol,IN,76.42,Clear,21.1167,70.1167,No hotel found
266,Mana,GF,77.56,Clouds,5.6592,-53.7767,Le Samana
277,Salalah,OM,77.09,Clear,17.0151,54.0924,Muscat International Hotel
282,Rafaela,AR,78.98,Clear,-31.2503,-61.4867,Toscano
286,Baisha,CN,78.53,Clouds,26.5222,110.9311,No hotel found
291,Saint-Philippe,RE,78.39,Clouds,-21.3585,55.7679,Le Baril
294,Kahului,US,75.85,Clouds,20.8947,-156.47,Maui Seaside Hotel
295,Sao Joao Da Barra,BR,72.75,Clouds,-21.6403,-41.0511,Pousada Mediterrâneo
296,Itupiranga,BR,77.32,Clouds,-5.1347,-49.3267,No hotel found
299,Soyo,AO,76.33,Clouds,-6.1349,12.3689,Hotel Maria Teres
301,Acarau,BR,77.74,Clouds,-2.8856,-40.12,No hotel found
303,Quatre Cocos,MU,79.09,Clouds,-20.2078,57.7625,Horisun
306,Bubaque,GW,81.59,Clouds,11.2833,-15.8333,Chez Julio
307,Kavieng,PG,85.14,Clouds,-2.5744,150.7967,Kavieng Hotel
309,Bonfim,BR,76.89,Clouds,3.0833,-59.95,No hotel found
310,Bosaso,SO,77.07,Clouds,11.2842,49.1816,Bosaso hotel
312,Paragominas,BR,74.71,Clouds,-2.9667,-47.4833,No hotel found
315,Sur,OM,78.8,Clouds,22.5667,59.5289,Sur Hotel
325,Broken Hill,AU,71.47,Clear,-31.95,141.4333,Ibis Styles
328,Sundargarh,IN,70.79,Clear,22.1167,84.0333,No hotel found
330,Puerto Escondido,MX,79.63,Clear,15.85,-97.0667,Hotel Barlovento
332,Tabuk,PH,85.86,Clear,17.4189,121.4443,Davidson Hotel
333,Banda Aceh,ID,84.47,Clouds,5.5577,95.3222,Hotel 61
